group	cond	seed	dim	layers	epoch	pt_id
main	baseline	0	64	2	1	0.0000
main	baseline	0	64	2	2	0.2731
main	baseline	0	64	2	3	0.6636
main	baseline	0	64	2	4	0.7145
main	baseline	0	64	2	5	0.7130
main	baseline	0	64	2	6	0.7191
main	baseline	0	64	2	7	0.7346
main	baseline	0	64	2	8	0.7816
main	baseline	0	64	2	9	0.8441
main	baseline	0	64	2	10	0.8951
main	baseline	0	64	2	11	0.9545
main	baseline	0	64	2	12	0.9753
main	baseline	0	64	2	13	0.9753
main	baseline	0	64	2	14	0.9907
main	baseline	0	64	2	15	1.0000
main	baseline	0	64	2	16	1.0000
main	baseline	0	64	2	17	1.0000
main	baseline	0	64	2	18	1.0000
main	baseline	0	64	2	19	1.0000
main	baseline	0	64	2	20	1.0000
main	baseline	0	64	2	21	1.0000
main	baseline	0	64	2	22	1.0000
main	baseline	0	64	2	23	1.0000
main	baseline	0	64	2	24	1.0000
main	baseline	0	64	2	25	1.0000
main	baseline	0	64	2	26	1.0000
main	baseline	0	64	2	27	1.0000
main	baseline	0	64	2	28	1.0000
main	baseline	0	64	2	29	1.0000
main	baseline	0	64	2	30	1.0000
main	baseline	0	64	2	31	1.0000
main	baseline	0	64	2	32	1.0000
main	baseline	0	64	2	33	1.0000
main	baseline	0	64	2	34	1.0000
main	baseline	0	64	2	35	1.0000
main	baseline	0	64	2	36	1.0000
main	baseline	0	64	2	37	1.0000
main	baseline	0	64	2	38	1.0000
main	baseline	0	64	2	39	1.0000
main	baseline	0	64	2	40	1.0000
main	baseline	0	64	2	41	1.0000
main	baseline	0	64	2	42	1.0000
main	baseline	0	64	2	43	1.0000
main	baseline	0	64	2	44	1.0000
main	baseline	0	64	2	45	1.0000
main	baseline	0	64	2	46	1.0000
main	baseline	0	64	2	47	1.0000
main	baseline	0	64	2	48	1.0000
main	baseline	0	64	2	49	1.0000
main	baseline	0	64	2	50	1.0000
main	baseline	0	64	2	51	1.0000
main	baseline	0	64	2	52	1.0000
main	baseline	0	64	2	53	1.0000
main	baseline	0	64	2	54	1.0000
main	baseline	0	64	2	55	1.0000
main	baseline	0	64	2	56	1.0000
main	baseline	0	64	2	57	1.0000
main	baseline	0	64	2	58	1.0000
main	baseline	0	64	2	59	1.0000
main	baseline	0	64	2	60	1.0000
main	baseline	1	64	2	1	0.0679
main	baseline	1	64	2	2	0.5802
main	baseline	1	64	2	3	0.5802
main	baseline	1	64	2	4	0.5633
main	baseline	1	64	2	5	0.5602
main	baseline	1	64	2	6	0.5610
main	baseline	1	64	2	7	0.6821
main	baseline	1	64	2	8	0.8133
main	baseline	1	64	2	9	0.8233
main	baseline	1	64	2	10	0.8526
main	baseline	1	64	2	11	0.9437
main	baseline	1	64	2	12	0.9591
main	baseline	1	64	2	13	0.9745
main	baseline	1	64	2	14	0.9776
main	baseline	1	64	2	15	0.9830
main	baseline	1	64	2	16	0.9907
main	baseline	1	64	2	17	1.0000
main	baseline	1	64	2	18	1.0000
main	baseline	1	64	2	19	1.0000
main	baseline	1	64	2	20	1.0000
main	baseline	1	64	2	21	1.0000
main	baseline	1	64	2	22	1.0000
main	baseline	1	64	2	23	1.0000
main	baseline	1	64	2	24	1.0000
main	baseline	1	64	2	25	1.0000
main	baseline	1	64	2	26	1.0000
main	baseline	1	64	2	27	1.0000
main	baseline	1	64	2	28	1.0000
main	baseline	1	64	2	29	1.0000
main	baseline	1	64	2	30	1.0000
main	baseline	1	64	2	31	1.0000
main	baseline	1	64	2	32	1.0000
main	baseline	1	64	2	33	1.0000
main	baseline	1	64	2	34	1.0000
main	baseline	1	64	2	35	1.0000
main	baseline	1	64	2	36	1.0000
main	baseline	1	64	2	37	1.0000
main	baseline	1	64	2	38	1.0000
main	baseline	1	64	2	39	1.0000
main	baseline	1	64	2	40	1.0000
main	baseline	1	64	2	41	1.0000
main	baseline	1	64	2	42	1.0000
main	baseline	1	64	2	43	1.0000
main	baseline	1	64	2	44	1.0000
main	baseline	1	64	2	45	1.0000
main	baseline	1	64	2	46	1.0000
main	baseline	1	64	2	47	1.0000
main	baseline	1	64	2	48	1.0000
main	baseline	1	64	2	49	1.0000
main	baseline	1	64	2	50	1.0000
main	baseline	1	64	2	51	1.0000
main	baseline	1	64	2	52	1.0000
main	baseline	1	64	2	53	1.0000
main	baseline	1	64	2	54	1.0000
main	baseline	1	64	2	55	1.0000
main	baseline	1	64	2	56	1.0000
main	baseline	1	64	2	57	1.0000
main	baseline	1	64	2	58	1.0000
main	baseline	1	64	2	59	1.0000
main	baseline	1	64	2	60	1.0000
main	baseline	2	64	2	1	0.0000
main	baseline	2	64	2	2	0.3719
main	baseline	2	64	2	3	0.5949
main	baseline	2	64	2	4	0.6775
main	baseline	2	64	2	5	0.6705
main	baseline	2	64	2	6	0.7670
main	baseline	2	64	2	7	0.8542
main	baseline	2	64	2	8	0.9043
main	baseline	2	64	2	9	0.9506
main	baseline	2	64	2	10	0.9506
